what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.ui,1.8.9,"org.tigris.subversion.subclipse.ui",1380658825080
os,sysinfo,,,"win32",1380658825080
arch,sysinfo,,,"x86_64",1380658825080
ws,sysinfo,,,"win32",1380658825080
locale,sysinfo,,,"pt_BR",1380658825080
processors,sysinfo,,,"4",1380658825080
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380658825080
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1380658825080
java.specification.name,sysinfo,,,"Java Platform API Specification",1380658825080
java.specification.vendor,sysinfo,,,"Oracle Corporation",1380658825080
java.specification.version,sysinfo,,,"1.7",1380658825080
java.vendor,sysinfo,,,"Oracle Corporation",1380658825080
java.version,sysinfo,,,"1.7.0_04",1380658825080
java.vm.info,sysinfo,,,"mixed mode",1380658825080
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1380658825080
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380658825080
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1380658825080
java.vm.specification.version,sysinfo,,,"1.7",1380658825080
java.vm.vendor,sysinfo,,,"Oracle Corporation",1380658825080
java.vm.version,sysinfo,,,"23.0-b21",1380658825080
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1380658825096
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1380658826157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658827935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658834471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658843354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658848299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1380658848299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658851123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658853681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1380658853681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658858720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658862792
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380658867862
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1380658868314
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1380658868314
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1380658868314
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1380658868330
